,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5049833887043189,1.0,0.013245033112582781,0.08,0.08666666666666667,1.0,0.0,150.0,149.0
1,2.0,0.49666666666666665,0.48,0.08,0.08,0.08666666666666667,12.0,13.0,137.0,138.0
2,3.0,0.4866666666666667,0.45454545454545453,0.13333333333333333,0.16,0.19333333333333333,20.0,24.0,126.0,130.0
3,4.0,0.48333333333333334,0.4528301886792453,0.16,0.16,0.19333333333333333,24.0,29.0,121.0,126.0
4,5.0,0.54,0.5714285714285714,0.32,0.3333333333333333,0.26666666666666666,48.0,36.0,114.0,102.0
5,6.0,0.52,0.5294117647058824,0.36,0.3933333333333333,0.32666666666666666,54.0,48.0,102.0,96.0
6,7.0,0.54,0.5714285714285714,0.32,0.32666666666666666,0.2733333333333333,48.0,36.0,114.0,102.0
7,8.0,0.54,0.5714285714285714,0.32,0.32666666666666666,0.2733333333333333,48.0,36.0,114.0,102.0
8,9.0,0.5266666666666666,0.5444444444444444,0.32666666666666666,0.32666666666666666,0.2733333333333333,49.0,41.0,109.0,101.0
9,10.0,0.5466666666666666,0.5555555555555556,0.4666666666666667,0.49333333333333335,0.3933333333333333,70.0,56.0,94.0,80.0
10,11.0,0.55,0.556390977443609,0.49333333333333335,0.49333333333333335,0.3933333333333333,74.0,59.0,91.0,76.0
11,12.0,0.49666666666666665,0.49700598802395207,0.5533333333333333,0.5666666666666667,0.56,83.0,84.0,66.0,67.0
12,13.0,0.51,0.5132743362831859,0.38666666666666666,0.4266666666666667,0.41333333333333333,58.0,55.0,95.0,92.0
13,14.0,0.51,0.5132743362831859,0.38666666666666666,0.46,0.4066666666666667,58.0,55.0,95.0,92.0
14,15.0,0.58,0.5681818181818182,0.6666666666666666,0.68,0.5333333333333333,100.0,76.0,74.0,50.0
15,16.0,0.49666666666666665,0.49700598802395207,0.5533333333333333,0.62,0.6,83.0,84.0,66.0,67.0
16,17.0,0.58,0.5638297872340425,0.7066666666666667,0.7533333333333333,0.5866666666666667,106.0,82.0,68.0,44.0
17,18.0,0.5633333333333334,0.5536723163841808,0.6533333333333333,0.7133333333333334,0.5533333333333333,98.0,79.0,71.0,52.0
18,19.0,0.58,0.5681818181818182,0.6666666666666666,0.6933333333333334,0.5333333333333333,100.0,76.0,74.0,50.0
19,20.0,0.58,0.5652173913043478,0.6933333333333334,0.6933333333333334,0.5333333333333333,104.0,80.0,70.0,46.0
20,21.0,0.5833333333333334,0.5609756097560976,0.7666666666666667,0.8266666666666667,0.6333333333333333,115.0,90.0,60.0,35.0
21,22.0,0.5966666666666667,0.5662100456621004,0.8266666666666667,0.8266666666666667,0.6333333333333333,124.0,95.0,55.0,26.0
22,23.0,0.6066666666666667,0.5776699029126213,0.7933333333333333,0.8533333333333334,0.6,119.0,87.0,63.0,31.0
23,24.0,0.6233333333333333,0.5911330049261084,0.8,0.82,0.5933333333333334,120.0,83.0,67.0,30.0
24,25.0,0.6,0.5714285714285714,0.8,0.86,0.66,120.0,90.0,60.0,30.0
25,26.0,0.64,0.6029411764705882,0.82,0.8466666666666667,0.62,123.0,81.0,69.0,27.0
26,27.0,0.6266666666666667,0.5922330097087378,0.8133333333333334,0.8666666666666667,0.5933333333333334,122.0,84.0,66.0,28.0
27,28.0,0.6233333333333333,0.5852534562211982,0.8466666666666667,0.8866666666666667,0.6466666666666666,127.0,90.0,60.0,23.0
28,29.0,0.6333333333333333,0.5892857142857143,0.88,0.8933333333333333,0.6733333333333333,132.0,92.0,58.0,18.0
29,30.0,0.6333333333333333,0.5892857142857143,0.88,0.9,0.68,132.0,92.0,58.0,18.0
30,31.0,0.61,0.569620253164557,0.9,0.9,0.68,135.0,102.0,48.0,15.0
31,32.0,0.6366666666666667,0.5919282511210763,0.88,0.9,0.7,132.0,91.0,59.0,18.0
32,33.0,0.6,0.5625,0.9,0.9,0.7,135.0,105.0,45.0,15.0
33,34.0,0.6133333333333333,0.5758928571428571,0.86,0.9,0.7,129.0,95.0,55.0,21.0
34,35.0,0.6,0.5625,0.9,0.9,0.7,135.0,105.0,45.0,15.0
35,36.0,0.6133333333333333,0.5758928571428571,0.86,0.9,0.7066666666666667,129.0,95.0,55.0,21.0
36,37.0,0.62,0.5789473684210527,0.88,0.9133333333333333,0.6933333333333334,132.0,96.0,54.0,18.0
37,38.0,0.62,0.5796460176991151,0.8733333333333333,0.9333333333333333,0.6933333333333334,131.0,95.0,55.0,19.0
38,39.0,0.62,0.5796460176991151,0.8733333333333333,0.9333333333333333,0.6933333333333334,131.0,95.0,55.0,19.0
39,40.0,0.62,0.581081081081081,0.86,0.9066666666666666,0.7,129.0,93.0,57.0,21.0
40,41.0,0.6166666666666667,0.5764192139737991,0.88,0.9,0.6933333333333334,132.0,97.0,53.0,18.0
41,42.0,0.62,0.5789473684210527,0.88,0.9133333333333333,0.7133333333333334,132.0,96.0,54.0,18.0
42,43.0,0.6,0.5614754098360656,0.9133333333333333,0.9133333333333333,0.7133333333333334,137.0,107.0,43.0,13.0
43,44.0,0.6,0.5614754098360656,0.9133333333333333,0.9133333333333333,0.7133333333333334,137.0,107.0,43.0,13.0
44,45.0,0.6,0.5614754098360656,0.9133333333333333,0.9133333333333333,0.7133333333333334,137.0,107.0,43.0,13.0
45,46.0,0.6266666666666667,0.5811965811965812,0.9066666666666666,0.9333333333333333,0.74,136.0,98.0,52.0,14.0
46,47.0,0.6266666666666667,0.5811965811965812,0.9066666666666666,0.9333333333333333,0.7533333333333333,136.0,98.0,52.0,14.0
47,48.0,0.62,0.5756302521008403,0.9133333333333333,0.9533333333333334,0.74,137.0,101.0,49.0,13.0
48,49.0,0.6366666666666667,0.5850622406639004,0.94,0.9533333333333334,0.7466666666666667,141.0,100.0,50.0,9.0
49,50.0,0.65,0.5941422594142259,0.9466666666666667,0.96,0.74,142.0,97.0,53.0,8.0
50,51.0,0.61,0.5647058823529412,0.96,0.96,0.74,144.0,111.0,39.0,6.0
51,52.0,0.61,0.5647058823529412,0.96,0.96,0.74,144.0,111.0,39.0,6.0
52,53.0,0.65,0.5941422594142259,0.9466666666666667,0.96,0.74,142.0,97.0,53.0,8.0
53,54.0,0.6233333333333333,0.5761316872427984,0.9333333333333333,0.9533333333333334,0.7466666666666667,140.0,103.0,47.0,10.0
54,55.0,0.62,0.5737704918032787,0.9333333333333333,0.9666666666666667,0.7666666666666667,140.0,104.0,46.0,10.0
55,56.0,0.6366666666666667,0.5843621399176955,0.9466666666666667,0.9733333333333334,0.7733333333333333,142.0,101.0,49.0,8.0
56,57.0,0.63,0.5822784810126582,0.92,0.9533333333333334,0.74,138.0,99.0,51.0,12.0
57,58.0,0.6233333333333333,0.5767634854771784,0.9266666666666666,0.9666666666666667,0.7533333333333333,139.0,102.0,48.0,11.0
58,59.0,0.6433333333333333,0.588477366255144,0.9533333333333334,0.9733333333333334,0.8,143.0,100.0,50.0,7.0
59,60.0,0.6266666666666667,0.5772357723577236,0.9466666666666667,0.9733333333333334,0.82,142.0,104.0,46.0,8.0
60,61.0,0.6333333333333333,0.5819672131147541,0.9466666666666667,0.98,0.8266666666666667,142.0,102.0,48.0,8.0
61,62.0,0.6333333333333333,0.5819672131147541,0.9466666666666667,0.98,0.84,142.0,102.0,48.0,8.0
62,63.0,0.6266666666666667,0.5772357723577236,0.9466666666666667,0.9733333333333334,0.8266666666666667,142.0,104.0,46.0,8.0
63,64.0,0.6266666666666667,0.5778688524590164,0.94,0.98,0.8333333333333334,141.0,103.0,47.0,9.0
64,65.0,0.6266666666666667,0.5778688524590164,0.94,0.98,0.8333333333333334,141.0,103.0,47.0,9.0
65,66.0,0.62,0.5714285714285714,0.96,0.9933333333333333,0.82,144.0,108.0,42.0,6.0
66,67.0,0.6066666666666667,0.5625,0.96,0.9866666666666667,0.86,144.0,112.0,38.0,6.0
67,68.0,0.5633333333333334,0.5342960288808665,0.9866666666666667,0.9866666666666667,0.86,148.0,129.0,21.0,2.0
68,69.0,0.61,0.5647058823529412,0.96,0.9933333333333333,0.8133333333333334,144.0,111.0,39.0,6.0
69,70.0,0.61,0.5642023346303502,0.9666666666666667,0.9866666666666667,0.8333333333333334,145.0,112.0,38.0,5.0
70,71.0,0.61,0.5642023346303502,0.9666666666666667,0.9866666666666667,0.8333333333333334,145.0,112.0,38.0,5.0
71,72.0,0.5766666666666667,0.5421245421245421,0.9866666666666667,0.9866666666666667,0.8333333333333334,148.0,125.0,25.0,2.0
72,73.0,0.5933333333333334,0.553030303030303,0.9733333333333334,0.9066666666666666,0.9533333333333334,146.0,118.0,32.0,4.0
73,74.0,0.61,0.5642023346303502,0.9666666666666667,0.8866666666666667,0.64,145.0,112.0,38.0,5.0
74,75.0,0.5933333333333334,0.553030303030303,0.9733333333333334,0.88,0.6133333333333333,146.0,118.0,32.0,4.0
75,76.0,0.6,0.5581395348837209,0.96,0.88,0.6333333333333333,144.0,114.0,36.0,6.0
76,77.0,0.6033333333333334,0.55893536121673,0.98,0.8733333333333333,0.6466666666666666,147.0,116.0,34.0,3.0
77,78.0,0.6033333333333334,0.55893536121673,0.98,0.8533333333333334,0.64,147.0,116.0,34.0,3.0
78,79.0,0.5866666666666667,0.5481481481481482,0.9866666666666667,0.8733333333333333,0.6466666666666666,148.0,122.0,28.0,2.0
79,80.0,0.5866666666666667,0.5481481481481482,0.9866666666666667,0.88,0.6533333333333333,148.0,122.0,28.0,2.0
80,81.0,0.6133333333333333,0.5739130434782609,0.88,0.88,0.6533333333333333,132.0,98.0,52.0,18.0
81,82.0,0.6033333333333334,0.55893536121673,0.98,0.8533333333333334,0.66,147.0,116.0,34.0,3.0
82,83.0,0.62,0.5714285714285714,0.96,0.8333333333333334,0.6066666666666667,144.0,108.0,42.0,6.0
83,84.0,0.6366666666666667,0.582995951417004,0.96,0.8,0.6133333333333333,144.0,103.0,47.0,6.0
84,85.0,0.6133333333333333,0.5669291338582677,0.96,0.8333333333333334,0.6066666666666667,144.0,110.0,40.0,6.0
85,86.0,0.6166666666666667,0.570281124497992,0.9466666666666667,0.7866666666666666,0.5933333333333334,142.0,107.0,43.0,8.0
86,87.0,0.6366666666666667,0.582995951417004,0.96,0.8066666666666666,0.6,144.0,103.0,47.0,6.0
87,88.0,0.6333333333333333,0.5833333333333334,0.9333333333333333,0.7866666666666666,0.5533333333333333,140.0,100.0,50.0,10.0
88,89.0,0.6333333333333333,0.5806451612903226,0.96,0.8,0.6066666666666667,144.0,104.0,46.0,6.0
89,90.0,0.64,0.5853658536585366,0.96,0.7933333333333333,0.5666666666666667,144.0,102.0,48.0,6.0
90,91.0,0.6133333333333333,0.5833333333333334,0.7933333333333333,0.7933333333333333,0.5666666666666667,119.0,85.0,65.0,31.0
91,92.0,0.6133333333333333,0.5833333333333334,0.7933333333333333,0.7933333333333333,0.5666666666666667,119.0,85.0,65.0,31.0
92,93.0,0.64,0.5853658536585366,0.96,0.76,0.5533333333333333,144.0,102.0,48.0,6.0
93,94.0,0.64,0.5846774193548387,0.9666666666666667,0.8,0.5866666666666667,145.0,103.0,47.0,5.0
94,95.0,0.64,0.5846774193548387,0.9666666666666667,0.7266666666666667,0.5466666666666666,145.0,103.0,47.0,5.0
95,96.0,0.6466666666666666,0.5901639344262295,0.96,0.72,0.5,144.0,100.0,50.0,6.0
96,97.0,0.6333333333333333,0.5819672131147541,0.9466666666666667,0.76,0.5333333333333333,142.0,102.0,48.0,8.0
97,98.0,0.6466666666666666,0.5901639344262295,0.96,0.74,0.5133333333333333,144.0,100.0,50.0,6.0
98,99.0,0.6133333333333333,0.5904255319148937,0.74,0.74,0.5133333333333333,111.0,77.0,73.0,39.0
99,100.0,0.66,0.6016949152542372,0.9466666666666667,0.7066666666666667,0.5,142.0,94.0,56.0,8.0
100,101.0,0.6466666666666666,0.5901639344262295,0.96,0.7066666666666667,0.52,144.0,100.0,50.0,6.0
101,102.0,0.65,0.5949367088607594,0.94,0.6533333333333333,0.4666666666666667,141.0,96.0,54.0,9.0
102,103.0,0.66,0.6,0.96,0.6466666666666666,0.49333333333333335,144.0,96.0,54.0,6.0
103,104.0,0.66,0.6016949152542372,0.9466666666666667,0.7,0.5066666666666667,142.0,94.0,56.0,8.0
104,105.0,0.5966666666666667,0.580110497237569,0.7,0.7,0.5066666666666667,105.0,76.0,74.0,45.0
105,106.0,0.66,0.6,0.96,0.64,0.48,144.0,96.0,54.0,6.0
106,107.0,0.6666666666666666,0.6050420168067226,0.96,0.6733333333333333,0.47333333333333333,144.0,94.0,56.0,6.0
107,108.0,0.6,0.5872093023255814,0.6733333333333333,0.6733333333333333,0.47333333333333333,101.0,71.0,79.0,49.0
108,109.0,0.6666666666666666,0.6059322033898306,0.9533333333333334,0.6466666666666666,0.4866666666666667,143.0,93.0,57.0,7.0
109,110.0,0.66,0.6,0.96,0.6333333333333333,0.49333333333333335,144.0,96.0,54.0,6.0
110,111.0,0.67,0.6094420600858369,0.9466666666666667,0.6533333333333333,0.47333333333333333,142.0,91.0,59.0,8.0
111,112.0,0.59,0.5798816568047337,0.6533333333333333,0.6533333333333333,0.47333333333333333,98.0,71.0,79.0,52.0
112,113.0,0.59,0.5798816568047337,0.6533333333333333,0.6533333333333333,0.47333333333333333,98.0,71.0,79.0,52.0
113,114.0,0.59,0.5798816568047337,0.6533333333333333,0.6533333333333333,0.47333333333333333,98.0,71.0,79.0,52.0
114,115.0,0.6933333333333334,0.6239316239316239,0.9733333333333334,0.6266666666666667,0.4533333333333333,146.0,88.0,62.0,4.0
115,116.0,0.68,0.6163793103448276,0.9533333333333334,0.6133333333333333,0.5133333333333333,143.0,89.0,61.0,7.0
116,117.0,0.55,0.5443786982248521,0.6133333333333333,0.6133333333333333,0.5133333333333333,92.0,77.0,73.0,58.0
117,118.0,0.68,0.6163793103448276,0.9533333333333334,0.6266666666666667,0.5066666666666667,143.0,89.0,61.0,7.0
118,119.0,0.68,0.6163793103448276,0.9533333333333334,0.6333333333333333,0.5066666666666667,143.0,89.0,61.0,7.0
119,120.0,0.68,0.614406779661017,0.9666666666666667,0.6266666666666667,0.44,145.0,91.0,59.0,5.0
120,121.0,0.5933333333333334,0.5875,0.6266666666666667,0.6266666666666667,0.44,94.0,66.0,84.0,56.0
121,122.0,0.69,0.6212765957446809,0.9733333333333334,0.6333333333333333,0.4866666666666667,146.0,89.0,61.0,4.0
122,123.0,0.68,0.614406779661017,0.9666666666666667,0.66,0.43333333333333335,145.0,91.0,59.0,5.0
123,124.0,0.67,0.6075949367088608,0.96,0.66,0.46,144.0,93.0,57.0,6.0
124,125.0,0.6,0.5892857142857143,0.66,0.66,0.46,99.0,69.0,81.0,51.0
125,126.0,0.68,0.6163793103448276,0.9533333333333334,0.6,0.46,143.0,89.0,61.0,7.0
126,127.0,0.68,0.6163793103448276,0.9533333333333334,0.6333333333333333,0.44,143.0,89.0,61.0,7.0
127,128.0,0.6866666666666666,0.6206896551724138,0.96,0.5933333333333334,0.44,144.0,88.0,62.0,6.0
128,129.0,0.6833333333333333,0.6190476190476191,0.9533333333333334,0.6,0.43333333333333335,143.0,88.0,62.0,7.0
129,130.0,0.5833333333333334,0.5806451612903226,0.6,0.6,0.43333333333333335,90.0,65.0,85.0,60.0
130,131.0,0.5833333333333334,0.5806451612903226,0.6,0.6,0.43333333333333335,90.0,65.0,85.0,60.0
