,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5016611295681063,1.0,0.006622516556291391,0.13333333333333333,0.08666666666666667,0.0,0.0,150.0,150.0
1,2.0,0.5233333333333333,0.6060606060606061,0.13333333333333333,0.13333333333333333,0.08666666666666667,20.0,13.0,137.0,130.0
2,3.0,0.53,0.576271186440678,0.22666666666666666,0.23333333333333334,0.18,34.0,25.0,125.0,116.0
3,4.0,0.5266666666666666,0.5645161290322581,0.23333333333333334,0.23333333333333334,0.18,35.0,27.0,123.0,115.0
4,5.0,0.5266666666666666,0.5377358490566038,0.38,0.38,0.34,57.0,49.0,101.0,93.0
5,6.0,0.51,0.5128205128205128,0.4,0.4,0.3933333333333333,60.0,57.0,93.0,90.0
6,7.0,0.5266666666666666,0.5377358490566038,0.38,0.38,0.3466666666666667,57.0,49.0,101.0,93.0
7,8.0,0.5266666666666666,0.5377358490566038,0.38,0.38666666666666666,0.3466666666666667,57.0,49.0,101.0,93.0
8,9.0,0.52,0.5272727272727272,0.38666666666666666,0.38666666666666666,0.3466666666666667,58.0,52.0,98.0,92.0
9,10.0,0.4866666666666667,0.4868421052631579,0.49333333333333335,0.5133333333333333,0.52,74.0,78.0,72.0,76.0
10,11.0,0.49666666666666665,0.4967741935483871,0.5133333333333333,0.5133333333333333,0.52,77.0,78.0,72.0,73.0
11,12.0,0.5533333333333333,0.5459770114942529,0.6333333333333333,0.6533333333333333,0.54,95.0,79.0,71.0,55.0
12,13.0,0.56,0.5517241379310345,0.64,0.68,0.5266666666666666,96.0,78.0,72.0,54.0
13,14.0,0.56,0.5517241379310345,0.64,0.6933333333333334,0.5333333333333333,96.0,78.0,72.0,54.0
14,15.0,0.54,0.5370370370370371,0.58,0.62,0.52,87.0,75.0,75.0,63.0
15,16.0,0.5533333333333333,0.5459770114942529,0.6333333333333333,0.6466666666666666,0.5666666666666667,95.0,79.0,71.0,55.0
16,17.0,0.56,0.5483870967741935,0.68,0.7266666666666667,0.58,102.0,84.0,66.0,48.0
17,18.0,0.5666666666666667,0.5555555555555556,0.6666666666666666,0.6933333333333334,0.5533333333333333,100.0,80.0,70.0,50.0
18,19.0,0.54,0.5370370370370371,0.58,0.62,0.5266666666666666,87.0,75.0,75.0,63.0
19,20.0,0.5466666666666666,0.5406976744186046,0.62,0.62,0.5266666666666666,93.0,79.0,71.0,57.0
20,21.0,0.57,0.5532994923857868,0.7266666666666667,0.78,0.6133333333333333,109.0,88.0,62.0,41.0
21,22.0,0.5833333333333334,0.5598086124401914,0.78,0.78,0.6133333333333333,117.0,92.0,58.0,33.0
22,23.0,0.5933333333333334,0.5714285714285714,0.7466666666666667,0.76,0.6066666666666667,112.0,84.0,66.0,38.0
23,24.0,0.5933333333333334,0.5736842105263158,0.7266666666666667,0.7666666666666667,0.56,109.0,81.0,69.0,41.0
24,25.0,0.6033333333333334,0.5748792270531401,0.7933333333333333,0.8133333333333334,0.62,119.0,88.0,62.0,31.0
25,26.0,0.63,0.6,0.78,0.8,0.5733333333333334,117.0,78.0,72.0,33.0
26,27.0,0.6266666666666667,0.5913461538461539,0.82,0.8533333333333334,0.5866666666666667,123.0,85.0,65.0,27.0
27,28.0,0.6033333333333334,0.5720930232558139,0.82,0.84,0.64,123.0,92.0,58.0,27.0
28,29.0,0.6133333333333333,0.5787037037037037,0.8333333333333334,0.8866666666666667,0.6333333333333333,125.0,91.0,59.0,25.0
29,30.0,0.6133333333333333,0.5787037037037037,0.8333333333333334,0.8866666666666667,0.6333333333333333,125.0,91.0,59.0,25.0
30,31.0,0.6266666666666667,0.5833333333333334,0.8866666666666667,0.8866666666666667,0.6333333333333333,133.0,95.0,55.0,17.0
31,32.0,0.62,0.5825688073394495,0.8466666666666667,0.88,0.6333333333333333,127.0,91.0,59.0,23.0
32,33.0,0.6233333333333333,0.5814977973568282,0.88,0.88,0.6333333333333333,132.0,95.0,55.0,18.0
33,34.0,0.62,0.5841121495327103,0.8333333333333334,0.8466666666666667,0.66,125.0,89.0,61.0,25.0
